UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
157	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
158	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
159	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
160	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
161	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
162	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
163	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
164	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
166	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
167	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
169	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
170	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
171	3 Marginal	3 Marginal	2 Moderado	1 Limit_ligera
172	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
173	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
174	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
175	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
176	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
178	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
179	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
180	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
182	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
183	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
184	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
185	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
186	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
188	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
189	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
190	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
191	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
192	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
193	2- Mod_apta	2- Mod_apta	2 Moderado	1 Limit_ligera
194	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
195	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
198	3 Marginal	3 Marginal	3 Bajo	2 Limit_moderada
201	3 Marginal	3 Marginal	4 Muy bajo	1 Limit_ligera
202	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
203	2 Mod_apta	2 Mod_apta	2 Moderado	4 Limit_muy fuerte
204	4 No apta	4 No apta	4 Muy bajo	1 Limit_ligera
205	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
206	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
207	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
209	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
210	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
211	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
212	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
213	2 Mod_apta	1- Muy apta	1 Alto	1 Limit_ligera
214	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
215	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
219	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
220	1 Muy apta	1- Muy apta	1 Alto	1 Limit_ligera
223	1 Muy apta	2 Mod_apta	1 Alto	1 Limit_ligera
225	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
226	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
227	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
228	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
229	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
232	3 Marginal	3 Marginal	3 Bajo	2 Limit_moderada
233	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
234	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
235	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
236	2 Mod_apta	2 Mod_apta	1 Alto	4 Limit_muy fuerte
